code,流動資産合計,現金及び預金,現金預金,有形固定資産,有形固定資産合計,投資有価証券,投資その他の資産合計,流動負債合計,固定負債合計
3277,17554080,3865863,,,290865,,594750,5516638,2918950
3402,1181039,236354,,998358,,,,681378,845186
4183,787572,195987,,455749,,,,466305,409663
6232,3257717,1891731,,,,646888,675887,432941,3346
6361,468136,136084,,160722,,,,291212,82087
7203,22776800,5100857,,,11411153,,,21460466,16518344
7605,13909184,6247882,,,13160081,,,,
8160,20354,16002,,,14779,2825,8027,16515,6087
8616,1342676,83589,,10740,,48155,,1143073,100176
8746,7319602,2334471,,,388267,1628841,2056000,4204103,44459
9201,567816,408335,,,1045413,,,476893,648850
9519,46699,19406,,104148,,,,13375,182306
9678,122130,50037,,,159692,9335,13995,88267,88692
9719,212524,108768,,67345,,,,97820,55240
